n,procs,trial,flops,time_sec,mflops
200,1,1,15960000,0.000471,33885.4
200,1,2,15960000,0.000542,29446.5
200,1,3,15960000,0.000463,34470.8
200,2,1,15960000,0.000253,63083.0
200,2,2,15960000,0.000242,65950.4
200,2,3,15960000,0.000257,62101.2
200,4,1,15960000,0.000135,118222.0
200,4,2,15960000,0.000135,118222.0
200,4,3,15960000,0.000136,117353.0
200,8,1,15960000,0.000179,89162.0
200,8,2,15960000,0.000177,90169.5
200,8,3,15960000,0.000181,88176.8
400,1,1,127840000,0.003317,38540.9
400,1,2,127840000,0.003422,37358.3
400,1,3,127840000,0.003364,38002.4
400,2,1,127840000,0.001653,77338.2
400,2,2,127840000,0.001629,78477.6
400,2,3,127840000,0.001666,76734.7
400,4,1,127840000,0.000917,139411.0
400,4,2,127840000,0.000907,140948.0
400,4,3,127840000,0.000906,141104.0
400,8,1,127840000,0.001235,103514.0
400,8,2,127840000,0.001279,99953.1
400,8,3,127840000,0.001216,105132.0
800,1,1,1023360000,0.026571,38514.2
800,1,2,1023360000,0.027333,37440.5
800,1,3,1023360000,0.027096,37767.9
800,2,1,1023360000,0.013909,73575.4
800,2,2,1023360000,0.013787,74226.4
800,2,3,1023360000,0.013895,73649.5
800,4,1,1023360000,0.007231,141524.0
800,4,2,1023360000,0.007383,138610.0
800,4,3,1023360000,0.007608,134511.0
800,8,1,1023360000,0.008447,121151.0
800,8,2,1023360000,0.010568,96835.7
800,8,3,1023360000,0.011156,91731.8
1200,1,1,3454560000,0.09292,37177.8
1200,1,2,3454560000,0.093799,36829.4
1200,1,3,3454560000,0.092854,37204.2
1200,2,1,3454560000,0.048182,71698.1
1200,2,2,3454560000,0.048985,70522.8
1200,2,3,3454560000,0.048528,71186.9
1200,4,1,3454560000,0.039082,88392.6
1200,4,2,3454560000,0.03611,95667.7
1200,4,3,3454560000,0.039526,87399.7
1200,8,1,3454560000,0.053636,64407.5
1200,8,2,3454560000,0.052901,65302.4
1200,8,3,3454560000,0.05241,65914.1
1600,1,1,8189440000,0.223071,36712.3
1600,1,2,8189440000,0.24142,33922.0
1600,1,3,8189440000,0.223955,36567.3
1600,2,1,8189440000,0.116422,70342.7
1600,2,2,8189440000,0.11588,70671.7
1600,2,3,8189440000,0.117832,69501.0
1600,4,1,8189440000,0.116292,70421.4
1600,4,2,8189440000,0.116429,70338.5
1600,4,3,8189440000,0.113784,71973.6
1600,8,1,8189440000,0.136137,60155.9
1600,8,2,8189440000,0.13927,58802.6
1600,8,3,8189440000,0.136866,59835.5
2000,1,1,15996000000,0.435965,36691.0
2000,1,2,15996000000,0.434391,36824.0
2000,1,3,15996000000,0.433657,36886.3
2000,2,1,15996000000,0.313563,51013.7
2000,2,2,15996000000,0.277161,57713.7
2000,2,3,15996000000,0.271121,58999.5
2000,4,1,15996000000,0.250239,63922.9
2000,4,2,15996000000,0.247782,64556.7
2000,4,3,15996000000,0.259371,61672.3
2000,8,1,15996000000,0.274724,58225.7
2000,8,2,15996000000,0.279458,57239.4
2000,8,3,15996000000,0.276452,57861.8
